A,B,C,D,AVERAGE
183.0,813.0,395.0,814.0,551.25
18.0,506.0,68.0,970.0,-50.0
703.0,714.0,453.0,873.0,685.75
833.0,453.0,414.0,721.0,605.25
198.0,49.0,749.0,434.0,-50.0
417.0,294.0,240.0,605.0,-50.0
407.0,939.0,282.0,320.0,487.0
42.0,191.0,827.0,897.0,-50.0
563.0,278.0,705.0,856.0,600.5
248.0,554.0,412.0,863.0,519.25
349.0,503.0,274.0,627.0,438.25
122.0,330.0,429.0,41.0,-50.0
889.0,964.0,168.0,542.0,-50.0
485.0,817.0,59.0,161.0,380.5
489.0,718.0,696.0,720.0,-50.0
210.0,404.0,56.0,126.0,-50.0
690.0,754.0,972.0,58.0,618.5
630.0,960.0,523.0,948.0,765.25
14.0,66.0,797.0,715.0,398.0
369.0,838.0,431.0,457.0,523.75
916.0,3.0,171.0,19.0,-50.0
941.0,144.0,409.0,639.0,-50.0
70.0,181.0,848.0,607.0,426.5
601.0,659.0,345.0,294.0,474.75
467.0,850.0,496.0,664.0,619.25
581.0,640.0,435.0,708.0,591.0
389.0,845.0,574.0,809.0,654.25
699.0,436.0,721.0,539.0,-50.0
467.0,151.0,503.0,86.0,-50.0
721.0,346.0,597.0,751.0,603.75
745.0,388.0,429.0,231.0,448.25
738.0,472.0,460.0,197.0,466.75
874.0,213.0,10.0,723.0,455.0
869.0,677.0,124.0,953.0,655.75
819.0,734.0,250.0,926.0,-50.0
715.0,130.0,862.0,281.0,497.0
968.0,354.0,243.0,863.0,-50.0
969.0,309.0,435.0,370.0,520.75
472.0,435.0,748.0,352.0,-50.0
239.0,241.0,992.0,403.0,468.75
905.0,438.0,667.0,608.0,654.5
247.0,771.0,345.0,194.0,-50.0
721.0,222.0,246.0,494.0,420.75
795.0,303.0,651.0,717.0,616.5
282.0,644.0,173.0,90.0,-50.0
201.0,935.0,223.0,357.0,429.0
113.0,43.0,12.0,689.0,-50.0
580.0,194.0,400.0,266.0,-50.0
196.0,960.0,793.0,991.0,-50.0
865.0,968.0,502.0,296.0,-50.0
556.0,29.0,302.0,618.0,-50.0
132.0,279.0,691.0,274.0,-50.0
830.0,722.0,862.0,239.0,663.25
699.0,136.0,520.0,891.0,561.5
159.0,536.0,550.0,820.0,-50.0
5.0,161.0,534.0,795.0,373.75
955.0,112.0,877.0,106.0,-50.0
131.0,56.0,832.0,745.0,-50.0
937.0,117.0,750.0,910.0,-50.0
87.0,908.0,474.0,699.0,542.0
228.0,296.0,476.0,176.0,-50.0
710.0,635.0,471.0,711.0,631.75
771.0,880.0,766.0,277.0,673.5
124.0,591.0,273.0,390.0,344.5
781.0,547.0,847.0,274.0,-50.0
815.0,574.0,102.0,513.0,501.0
248.0,361.0,270.0,701.0,-50.0
185.0,140.0,661.0,830.0,-50.0
333.0,810.0,16.0,217.0,344.0
474.0,163.0,589.0,649.0,-50.0
544.0,66.0,439.0,299.0,-50.0
354.0,792.0,664.0,454.0,-50.0
113.0,890.0,76.0,164.0,310.75
795.0,677.0,813.0,136.0,-50.0
468.0,954.0,250.0,988.0,-50.0
655.0,434.0,37.0,876.0,500.5
854.0,875.0,713.0,888.0,832.5
316.0,831.0,121.0,453.0,-50.0
440.0,409.0,522.0,977.0,-50.0
882.0,853.0,792.0,378.0,-50.0
486.0,908.0,908.0,833.0,-50.0
285.0,716.0,770.0,906.0,-50.0
213.0,548.0,972.0,631.0,591.0
640.0,563.0,428.0,210.0,-50.0
725.0,926.0,429.0,65.0,-50.0
676.0,848.0,719.0,31.0,568.5
50.0,304.0,572.0,132.0,-50.0
4.0,157.0,511.0,461.0,-50.0
837.0,396.0,726.0,50.0,-50.0
460.0,204.0,97.0,839.0,-50.0
762.0,510.0,674.0,910.0,714.0
157.0,909.0,573.0,12.0,-50.0
652.0,337.0,334.0,335.0,414.5
307.0,640.0,886.0,908.0,685.25
201.0,580.0,944.0,747.0,618.0
639.0,405.0,697.0,603.0,586.0
356.0,103.0,274.0,279.0,-50.0
249.0,261.0,249.0,256.0,-50.0
305.0,106.0,994.0,848.0,563.25
426.0,256.0,622.0,159.0,365.75
751.0,618.0,652.0,717.0,-50.0
189.0,404.0,663.0,855.0,527.75
56.0,68.0,362.0,524.0,252.5
319.0,693.0,593.0,401.0,501.5
454.0,292.0,160.0,297.0,300.75
810.0,625.0,132.0,454.0,505.25
879.0,656.0,739.0,454.0,682.0
526.0,187.0,872.0,641.0,-50.0
508.0,160.0,81.0,744.0,373.25
605.0,821.0,624.0,679.0,682.25
778.0,787.0,247.0,249.0,-50.0
419.0,105.0,495.0,211.0,-50.0
730.0,179.0,477.0,924.0,577.5
750.0,961.0,593.0,210.0,-50.0
289.0,578.0,297.0,245.0,352.25
661.0,470.0,825.0,228.0,546.0
988.0,56.0,347.0,592.0,-50.0
50.0,724.0,91.0,112.0,-50.0
6.0,422.0,965.0,788.0,-50.0
968.0,781.0,295.0,635.0,-50.0
318.0,680.0,46.0,790.0,458.5
880.0,185.0,590.0,705.0,590.0
924.0,983.0,750.0,515.0,-50.0
832.0,418.0,17.0,417.0,421.0
141.0,582.0,219.0,470.0,353.0
301.0,711.0,141.0,187.0,-50.0
77.0,662.0,699.0,253.0,-50.0
506.0,526.0,943.0,586.0,-50.0
54.0,8.0,258.0,874.0,298.5
114.0,906.0,194.0,331.0,386.25
566.0,483.0,766.0,624.0,609.75
920.0,151.0,637.0,22.0,-50.0
556.0,33.0,399.0,366.0,338.5
536.0,904.0,860.0,691.0,-50.0
323.0,412.0,102.0,574.0,-50.0
460.0,490.0,185.0,543.0,-50.0
959.0,54.0,559.0,41.0,-50.0
716.0,147.0,445.0,289.0,-50.0
218.0,633.0,863.0,256.0,492.5
108.0,886.0,459.0,699.0,-50.0
839.0,29.0,16.0,542.0,356.5
55.0,610.0,879.0,182.0,-50.0
212.0,903.0,163.0,597.0,468.75
412.0,26.0,161.0,135.0,-50.0
227.0,868.0,475.0,491.0,-50.0
308.0,755.0,992.0,675.0,682.5
84.0,341.0,715.0,783.0,480.75
619.0,801.0,188.0,483.0,522.75
660.0,446.0,690.0,901.0,674.25
843.0,818.0,745.0,770.0,794.0
941.0,990.0,368.0,436.0,-50.0
723.0,47.0,448.0,194.0,353.0
713.0,401.0,961.0,469.0,636.0
711.0,574.0,785.0,842.0,-50.0
891.0,271.0,968.0,575.0,-50.0
128.0,515.0,375.0,109.0,-50.0
667.0,178.0,384.0,363.0,398.0
477.0,124.0,655.0,514.0,442.5
442.0,852.0,548.0,869.0,677.75
83.0,724.0,376.0,690.0,468.25
754.0,423.0,655.0,619.0,-50.0
986.0,520.0,570.0,941.0,-50.0
187.0,514.0,794.0,880.0,593.75
622.0,700.0,420.0,883.0,-50.0
816.0,193.0,572.0,699.0,-50.0
673.0,260.0,638.0,448.0,-50.0
73.0,72.0,466.0,344.0,238.75
442.0,534.0,302.0,668.0,-50.0
152.0,725.0,184.0,282.0,335.75
210.0,491.0,623.0,343.0,-50.0
368.0,934.0,805.0,210.0,579.25
932.0,962.0,839.0,169.0,725.5
497.0,761.0,513.0,987.0,-50.0
744.0,878.0,969.0,349.0,735.0
295.0,451.0,580.0,960.0,-50.0
628.0,501.0,360.0,371.0,-50.0
196.0,119.0,921.0,191.0,-50.0
580.0,65.0,686.0,871.0,550.5
721.0,675.0,941.0,488.0,706.25
85.0,443.0,132.0,360.0,-50.0
705.0,186.0,926.0,106.0,-50.0
767.0,856.0,482.0,795.0,725.0
290.0,701.0,182.0,723.0,-50.0
853.0,723.0,865.0,42.0,-50.0
659.0,435.0,167.0,794.0,513.75
65.0,346.0,832.0,571.0,453.5
63.0,469.0,445.0,213.0,-50.0
901.0,426.0,690.0,400.0,604.25
745.0,517.0,233.0,756.0,-50.0
930.0,958.0,329.0,143.0,-50.0
528.0,392.0,196.0,920.0,-50.0
659.0,198.0,247.0,72.0,294.0
934.0,277.0,37.0,301.0,-50.0
506.0,581.0,488.0,325.0,475.0
407.0,725.0,865.0,521.0,-50.0
568.0,487.0,531.0,43.0,407.25
532.0,243.0,756.0,637.0,-50.0
753.0,216.0,832.0,59.0,465.0
848.0,5.0,175.0,169.0,-50.0
635.0,252.0,998.0,467.0,588.0
548.0,861.0,139.0,689.0,-50.0
409.0,762.0,489.0,563.0,-50.0
649.0,288.0,282.0,656.0,-50.0
438.0,820.0,688.0,141.0,521.75
876.0,521.0,197.0,207.0,-50.0
430.0,157.0,37.0,942.0,391.5
127.0,708.0,870.0,248.0,488.25
144.0,355.0,692.0,737.0,-50.0
10.0,486.0,170.0,450.0,279.0
581.0,270.0,521.0,586.0,489.5
299.0,925.0,148.0,804.0,-50.0
763.0,794.0,891.0,669.0,779.25
357.0,163.0,219.0,791.0,-50.0
900.0,509.0,916.0,866.0,-50.0
822.0,340.0,342.0,189.0,423.25
478.0,599.0,278.0,168.0,380.75
419.0,247.0,757.0,67.0,-50.0
301.0,811.0,440.0,591.0,-50.0
238.0,450.0,291.0,419.0,349.5
245.0,230.0,577.0,684.0,434.0
286.0,584.0,637.0,465.0,-50.0
475.0,436.0,393.0,200.0,376.0
481.0,930.0,929.0,142.0,620.5
148.0,688.0,179.0,191.0,301.5
320.0,142.0,825.0,946.0,558.25
170.0,91.0,502.0,370.0,-50.0
633.0,302.0,859.0,792.0,646.5
993.0,804.0,392.0,282.0,-50.0
915.0,980.0,544.0,54.0,623.25
341.0,10.0,59.0,64.0,-50.0
84.0,92.0,99.0,158.0,108.25
228.0,732.0,356.0,721.0,509.25
610.0,205.0,906.0,168.0,472.25
998.0,569.0,37.0,984.0,647.0
892.0,683.0,362.0,63.0,-50.0
679.0,383.0,993.0,290.0,586.25
230.0,794.0,315.0,205.0,-50.0
837.0,596.0,4.0,272.0,-50.0
347.0,832.0,59.0,279.0,-50.0
118.0,775.0,280.0,328.0,375.25
636.0,491.0,395.0,331.0,-50.0
383.0,276.0,778.0,910.0,586.75
745.0,931.0,761.0,649.0,771.5
605.0,871.0,226.0,426.0,532.0
976.0,497.0,907.0,384.0,-50.0
469.0,143.0,597.0,195.0,-50.0
231.0,457.0,533.0,569.0,447.5
323.0,603.0,55.0,819.0,450.0
94.0,454.0,766.0,943.0,-50.0
960.0,292.0,183.0,36.0,367.75
818.0,675.0,198.0,842.0,-50.0
860.0,495.0,339.0,404.0,524.5
16.0,42.0,532.0,751.0,335.25
3.0,666.0,795.0,354.0,-50.0
13.0,582.0,492.0,964.0,512.75
775.0,614.0,470.0,628.0,-50.0
979.0,279.0,232.0,946.0,-50.0
653.0,28.0,397.0,93.0,292.75
39.0,816.0,24.0,156.0,258.75
61.0,832.0,768.0,258.0,-50.0
310.0,32.0,247.0,226.0,-50.0
732.0,230.0,255.0,28.0,-50.0
474.0,995.0,54.0,527.0,512.5
558.0,607.0,208.0,277.0,412.5
812.0,521.0,19.0,740.0,523.0
765.0,276.0,512.0,392.0,486.25
56.0,673.0,287.0,272.0,322.0
18.0,687.0,710.0,677.0,-50.0
480.0,842.0,740.0,896.0,739.5
889.0,167.0,418.0,665.0,-50.0
397.0,168.0,183.0,890.0,-50.0
167.0,162.0,966.0,263.0,389.5
114.0,281.0,275.0,883.0,388.25
652.0,434.0,53.0,890.0,507.25
783.0,520.0,20.0,5.0,-50.0
291.0,51.0,218.0,203.0,190.75
389.0,353.0,631.0,531.0,-50.0
255.0,883.0,463.0,550.0,-50.0
161.0,634.0,673.0,179.0,-50.0
923.0,299.0,801.0,938.0,740.25
432.0,860.0,491.0,82.0,466.25
625.0,727.0,284.0,795.0,607.75
349.0,401.0,952.0,159.0,465.25
934.0,372.0,590.0,742.0,-50.0
397.0,265.0,626.0,35.0,-50.0
369.0,267.0,652.0,73.0,-50.0
466.0,218.0,594.0,327.0,401.25
836.0,22.0,304.0,757.0,-50.0
644.0,297.0,499.0,603.0,-50.0
449.0,488.0,840.0,927.0,-50.0
648.0,726.0,811.0,858.0,760.75
996.0,662.0,328.0,776.0,690.5
895.0,496.0,810.0,102.0,575.75
574.0,786.0,332.0,970.0,-50.0
582.0,739.0,652.0,893.0,716.5
457.0,279.0,878.0,223.0,-50.0
191.0,359.0,653.0,706.0,477.25
907.0,716.0,905.0,538.0,766.5
49.0,662.0,656.0,637.0,501.0
495.0,26.0,694.0,335.0,387.5
806.0,835.0,588.0,879.0,-50.0
562.0,37.0,568.0,445.0,-50.0
42.0,804.0,214.0,315.0,-50.0
390.0,954.0,15.0,88.0,-50.0
665.0,943.0,728.0,277.0,-50.0
653.0,761.0,452.0,437.0,-50.0
658.0,480.0,30.0,587.0,438.75
398.0,240.0,54.0,910.0,-50.0
73.0,22.0,719.0,160.0,-50.0
268.0,449.0,658.0,828.0,550.75
331.0,721.0,893.0,637.0,-50.0
981.0,313.0,92.0,535.0,480.25
696.0,467.0,498.0,229.0,-50.0
308.0,473.0,843.0,420.0,511.0
885.0,437.0,591.0,166.0,-50.0
586.0,331.0,663.0,313.0,-50.0
951.0,418.0,794.0,795.0,739.5
531.0,942.0,325.0,813.0,-50.0
897.0,159.0,421.0,122.0,-50.0
716.0,705.0,528.0,645.0,-50.0
870.0,320.0,651.0,36.0,-50.0
563.0,816.0,549.0,303.0,-50.0
689.0,732.0,668.0,910.0,749.75
976.0,186.0,412.0,839.0,603.25
215.0,623.0,281.0,650.0,442.25
681.0,64.0,934.0,12.0,-50.0
372.0,634.0,987.0,513.0,-50.0
424.0,205.0,904.0,408.0,485.25
707.0,967.0,805.0,687.0,-50.0
791.0,842.0,874.0,842.0,-50.0
5.0,971.0,518.0,59.0,-50.0
60.0,605.0,10.0,84.0,189.75
28.0,518.0,111.0,617.0,-50.0
223.0,984.0,261.0,44.0,-50.0
148.0,202.0,385.0,576.0,327.75
314.0,337.0,45.0,440.0,-50.0
193.0,193.0,731.0,22.0,284.75
111.0,720.0,730.0,312.0,-50.0
351.0,382.0,428.0,195.0,-50.0
693.0,524.0,729.0,750.0,674.0
881.0,87.0,768.0,1.0,-50.0
999.0,424.0,446.0,846.0,-50.0
240.0,734.0,158.0,349.0,370.25
621.0,884.0,883.0,54.0,610.5
570.0,998.0,288.0,520.0,594.0
387.0,302.0,795.0,927.0,-50.0
888.0,374.0,532.0,797.0,647.75
795.0,846.0,905.0,743.0,822.25
680.0,384.0,69.0,27.0,290.0
725.0,784.0,24.0,127.0,-50.0
844.0,241.0,385.0,144.0,403.5
613.0,323.0,105.0,833.0,-50.0
999.0,926.0,381.0,429.0,683.75
504.0,728.0,211.0,237.0,-50.0
270.0,342.0,507.0,607.0,-50.0
403.0,328.0,54.0,78.0,-50.0
309.0,906.0,910.0,148.0,568.25
7.0,574.0,609.0,231.0,-50.0
191.0,342.0,76.0,928.0,384.25
622.0,622.0,34.0,535.0,453.25
623.0,773.0,929.0,762.0,-50.0
199.0,879.0,162.0,367.0,401.75
232.0,851.0,229.0,378.0,-50.0
483.0,64.0,945.0,602.0,-50.0
963.0,263.0,776.0,608.0,-50.0
723.0,595.0,451.0,704.0,-50.0
463.0,510.0,62.0,356.0,-50.0
319.0,447.0,955.0,503.0,-50.0
779.0,842.0,119.0,991.0,-50.0
944.0,242.0,748.0,322.0,564.0
138.0,420.0,626.0,394.0,394.5
149.0,236.0,443.0,981.0,-50.0
701.0,659.0,24.0,791.0,543.75
648.0,718.0,859.0,323.0,-50.0
395.0,95.0,206.0,915.0,402.75
865.0,152.0,268.0,175.0,-50.0
141.0,532.0,613.0,915.0,550.25
413.0,630.0,743.0,21.0,-50.0
907.0,382.0,759.0,735.0,-50.0
999.0,154.0,540.0,83.0,-50.0
299.0,410.0,74.0,356.0,284.75
951.0,710.0,402.0,967.0,757.5
770.0,147.0,140.0,294.0,-50.0
9.0,101.0,313.0,56.0,-50.0
733.0,683.0,634.0,341.0,597.75
978.0,802.0,543.0,796.0,779.75
618.0,307.0,281.0,918.0,-50.0
255.0,133.0,810.0,700.0,474.5
438.0,176.0,481.0,123.0,-50.0
121.0,33.0,117.0,120.0,-50.0
189.0,489.0,789.0,995.0,615.5
882.0,394.0,710.0,3.0,497.25
467.0,730.0,611.0,431.0,-50.0
479.0,862.0,527.0,233.0,-50.0
484.0,330.0,638.0,656.0,-50.0
256.0,573.0,845.0,680.0,588.5
46.0,543.0,951.0,48.0,-50.0
702.0,682.0,448.0,657.0,-50.0
802.0,471.0,506.0,662.0,610.25
211.0,296.0,177.0,271.0,238.75
864.0,596.0,987.0,443.0,722.5
951.0,818.0,700.0,529.0,749.5
947.0,54.0,54.0,985.0,510.0
975.0,52.0,35.0,662.0,431.0
630.0,590.0,36.0,819.0,-50.0
682.0,702.0,643.0,153.0,545.0
190.0,568.0,262.0,326.0,-50.0
584.0,783.0,754.0,116.0,559.25
366.0,815.0,174.0,325.0,-50.0
737.0,294.0,508.0,955.0,623.5
231.0,896.0,287.0,557.0,492.75
843.0,672.0,0.0,812.0,581.75
141.0,256.0,874.0,435.0,426.5
118.0,973.0,189.0,445.0,-50.0
201.0,213.0,618.0,854.0,471.5
418.0,914.0,284.0,870.0,-50.0
875.0,25.0,80.0,707.0,421.75
595.0,542.0,123.0,341.0,-50.0
520.0,571.0,346.0,985.0,605.5
986.0,530.0,283.0,981.0,-50.0
349.0,813.0,681.0,389.0,558.0
571.0,407.0,821.0,245.0,511.0
940.0,487.0,887.0,171.0,-50.0
629.0,896.0,84.0,910.0,-50.0
128.0,845.0,700.0,14.0,-50.0
921.0,593.0,772.0,915.0,800.25
616.0,923.0,233.0,737.0,-50.0
533.0,903.0,719.0,282.0,-50.0
819.0,666.0,859.0,649.0,748.25
437.0,478.0,408.0,997.0,-50.0
836.0,575.0,31.0,86.0,382.0
757.0,61.0,827.0,443.0,-50.0
507.0,639.0,330.0,276.0,438.0
369.0,350.0,285.0,226.0,307.5
239.0,184.0,330.0,874.0,406.75
330.0,407.0,576.0,970.0,570.75
728.0,835.0,568.0,90.0,-50.0
718.0,172.0,291.0,731.0,478.0
651.0,628.0,570.0,320.0,-50.0
649.0,2.0,143.0,743.0,-50.0
155.0,685.0,329.0,846.0,503.75
787.0,203.0,902.0,53.0,486.25
798.0,530.0,938.0,95.0,-50.0
931.0,329.0,35.0,245.0,385.0
126.0,346.0,530.0,91.0,273.25
108.0,91.0,653.0,447.0,324.75
398.0,255.0,710.0,353.0,429.0
298.0,5.0,721.0,101.0,281.25
860.0,78.0,835.0,92.0,466.25
778.0,143.0,729.0,743.0,598.25
343.0,682.0,500.0,111.0,409.0
298.0,173.0,125.0,640.0,309.0
4.0,281.0,1.0,171.0,114.25
593.0,282.0,480.0,57.0,-50.0
869.0,573.0,167.0,792.0,-50.0
931.0,232.0,967.0,265.0,598.75
322.0,444.0,77.0,135.0,244.5
69.0,629.0,197.0,651.0,-50.0
542.0,454.0,286.0,866.0,537.0
672.0,157.0,729.0,525.0,520.75
669.0,941.0,815.0,517.0,-50.0
717.0,714.0,385.0,459.0,568.75
671.0,352.0,431.0,605.0,-50.0
798.0,758.0,981.0,372.0,-50.0
471.0,892.0,52.0,562.0,-50.0
683.0,194.0,442.0,353.0,-50.0
19.0,68.0,862.0,151.0,-50.0
995.0,668.0,906.0,606.0,793.75
138.0,421.0,634.0,783.0,494.0
205.0,56.0,610.0,643.0,-50.0
939.0,633.0,427.0,913.0,-50.0
765.0,176.0,69.0,530.0,385.0
70.0,673.0,512.0,440.0,423.75
856.0,177.0,249.0,775.0,514.25
903.0,303.0,774.0,527.0,-50.0
135.0,168.0,984.0,263.0,-50.0
350.0,654.0,243.0,566.0,-50.0
81.0,908.0,662.0,827.0,-50.0
118.0,128.0,772.0,472.0,372.5
689.0,221.0,722.0,976.0,652.0
494.0,186.0,687.0,809.0,-50.0
207.0,846.0,384.0,621.0,514.5
506.0,125.0,263.0,480.0,-50.0
732.0,560.0,312.0,890.0,623.5
983.0,739.0,597.0,839.0,789.5
691.0,404.0,306.0,851.0,-50.0
618.0,99.0,418.0,550.0,-50.0
348.0,39.0,406.0,187.0,245.0
288.0,450.0,3.0,589.0,332.5
742.0,689.0,650.0,971.0,763.0
139.0,660.0,954.0,588.0,585.25
187.0,602.0,498.0,5.0,-50.0
799.0,220.0,308.0,601.0,-50.0
380.0,709.0,783.0,343.0,-50.0
721.0,486.0,257.0,606.0,-50.0
721.0,482.0,156.0,720.0,-50.0
64.0,292.0,214.0,286.0,214.0
793.0,203.0,261.0,224.0,-50.0
715.0,488.0,558.0,200.0,-50.0
876.0,361.0,998.0,879.0,778.5
114.0,559.0,838.0,8.0,379.75
930.0,818.0,348.0,126.0,-50.0
679.0,618.0,338.0,984.0,654.75
151.0,389.0,483.0,867.0,-50.0
648.0,607.0,315.0,220.0,-50.0
206.0,283.0,238.0,8.0,183.75
125.0,126.0,257.0,302.0,202.5
840.0,672.0,302.0,797.0,652.75
207.0,842.0,779.0,706.0,-50.0
787.0,626.0,698.0,816.0,-50.0
68.0,289.0,228.0,831.0,-50.0
668.0,191.0,471.0,35.0,341.25
983.0,808.0,237.0,791.0,704.75
81.0,581.0,946.0,872.0,620.0
71.0,813.0,452.0,146.0,-50.0
25.0,402.0,512.0,338.0,-50.0
389.0,587.0,651.0,294.0,480.25
931.0,682.0,479.0,88.0,-50.0
784.0,695.0,84.0,629.0,548.0
587.0,337.0,866.0,585.0,593.75
493.0,319.0,962.0,346.0,530.0
299.0,133.0,760.0,305.0,-50.0
132.0,610.0,182.0,414.0,334.5
147.0,44.0,337.0,444.0,-50.0
647.0,476.0,371.0,302.0,-50.0
187.0,444.0,752.0,491.0,-50.0
141.0,687.0,521.0,262.0,402.75
149.0,407.0,635.0,532.0,430.75
128.0,805.0,348.0,103.0,-50.0
225.0,619.0,640.0,253.0,434.25
197.0,44.0,686.0,334.0,-50.0
524.0,864.0,188.0,311.0,-50.0
221.0,950.0,812.0,958.0,-50.0
618.0,682.0,199.0,267.0,441.5
842.0,984.0,137.0,368.0,582.75
583.0,898.0,715.0,768.0,-50.0
599.0,924.0,983.0,679.0,-50.0
654.0,107.0,757.0,28.0,-50.0
784.0,516.0,270.0,462.0,-50.0
374.0,994.0,228.0,269.0,466.25
534.0,282.0,318.0,55.0,297.25
471.0,927.0,918.0,281.0,-50.0
810.0,421.0,423.0,504.0,-50.0
647.0,629.0,991.0,784.0,-50.0
903.0,472.0,163.0,862.0,600.0
950.0,64.0,256.0,662.0,483.0
365.0,979.0,368.0,234.0,486.5
154.0,556.0,78.0,570.0,-50.0
430.0,188.0,190.0,636.0,361.0
754.0,589.0,303.0,661.0,-50.0
445.0,963.0,716.0,186.0,-50.0
565.0,446.0,763.0,810.0,-50.0
793.0,835.0,511.0,386.0,631.25
532.0,927.0,777.0,941.0,-50.0
467.0,699.0,541.0,534.0,-50.0
604.0,706.0,867.0,291.0,-50.0
331.0,884.0,601.0,488.0,-50.0
289.0,773.0,75.0,177.0,328.5
771.0,449.0,436.0,58.0,428.5
741.0,484.0,161.0,890.0,-50.0
778.0,482.0,52.0,272.0,-50.0
926.0,902.0,660.0,706.0,-50.0
172.0,736.0,987.0,581.0,-50.0
834.0,561.0,270.0,754.0,604.75
635.0,863.0,842.0,981.0,-50.0
387.0,61.0,580.0,575.0,-50.0
212.0,249.0,67.0,37.0,-50.0
585.0,749.0,624.0,31.0,497.25
782.0,95.0,51.0,367.0,-50.0
806.0,455.0,607.0,738.0,651.5
311.0,661.0,176.0,982.0,-50.0
666.0,336.0,360.0,244.0,-50.0
223.0,899.0,219.0,975.0,579.0
976.0,668.0,535.0,555.0,683.5
854.0,20.0,757.0,621.0,-50.0
790.0,657.0,501.0,80.0,-50.0
653.0,885.0,399.0,841.0,694.5
841.0,797.0,237.0,313.0,547.0
90.0,877.0,337.0,787.0,522.75
229.0,787.0,567.0,669.0,-50.0
136.0,917.0,989.0,837.0,719.75
855.0,358.0,844.0,744.0,700.25
968.0,874.0,488.0,525.0,713.75
756.0,941.0,739.0,405.0,710.25
484.0,800.0,7.0,414.0,-50.0
717.0,338.0,415.0,512.0,-50.0
47.0,629.0,313.0,436.0,356.25
242.0,296.0,974.0,419.0,482.75
708.0,515.0,838.0,887.0,737.0
366.0,602.0,5.0,808.0,445.25
438.0,449.0,920.0,654.0,-50.0
768.0,602.0,811.0,153.0,583.5
678.0,215.0,815.0,242.0,487.5
946.0,215.0,699.0,30.0,472.5
793.0,429.0,729.0,741.0,673.0
928.0,162.0,56.0,567.0,428.25
865.0,12.0,541.0,886.0,576.0
940.0,575.0,220.0,760.0,623.75
963.0,255.0,523.0,993.0,-50.0
682.0,814.0,293.0,978.0,-50.0
518.0,386.0,396.0,97.0,349.25
847.0,95.0,758.0,317.0,-50.0
933.0,117.0,289.0,629.0,492.0
181.0,87.0,139.0,478.0,221.25
401.0,80.0,645.0,761.0,-50.0
317.0,177.0,282.0,49.0,206.25
904.0,908.0,11.0,855.0,-50.0
394.0,653.0,711.0,822.0,645.0
123.0,71.0,371.0,688.0,-50.0
172.0,5.0,622.0,765.0,-50.0
37.0,994.0,94.0,661.0,446.5
616.0,244.0,711.0,1.0,393.0
762.0,310.0,870.0,315.0,-50.0
47.0,898.0,497.0,591.0,508.25
756.0,7.0,286.0,715.0,-50.0
