A,B,C,D,AVERAGE
414.0,89.0,120.0,34.0,164.25
213.0,548.0,972.0,631.0,591.0
411.0,56.0,984.0,603.0,513.5
935.0,198.0,853.0,998.0,746.0
773.0,812.0,557.0,203.0,586.25
988.0,547.0,573.0,174.0,570.5
93.0,856.0,303.0,747.0,499.75
303.0,283.0,133.0,824.0,385.75
10.0,775.0,231.0,146.0,290.5
308.0,888.0,326.0,140.0,415.5
696.0,175.0,204.0,380.0,363.75
932.0,907.0,888.0,563.0,822.5
237.0,602.0,294.0,499.0,408.0
421.0,582.0,632.0,686.0,580.25
586.0,798.0,724.0,819.0,731.75
102.0,797.0,369.0,873.0,535.25
433.0,926.0,838.0,944.0,785.25
744.0,878.0,969.0,349.0,735.0
10.0,324.0,950.0,560.0,461.0
280.0,0.0,707.0,436.0,355.75
893.0,194.0,398.0,390.0,468.75
638.0,93.0,918.0,230.0,469.75
447.0,123.0,421.0,276.0,316.75
615.0,587.0,144.0,786.0,533.0
732.0,127.0,715.0,840.0,603.5
191.0,247.0,568.0,30.0,259.0
938.0,135.0,214.0,567.0,463.5
585.0,305.0,472.0,574.0,484.0
189.0,191.0,985.0,109.0,368.5
574.0,961.0,857.0,197.0,647.25
378.0,800.0,838.0,919.0,733.75
701.0,632.0,163.0,534.0,507.5
489.0,710.0,64.0,344.0,401.75
989.0,530.0,637.0,64.0,555.0
551.0,827.0,140.0,306.0,456.0
948.0,948.0,161.0,916.0,743.25
537.0,952.0,347.0,379.0,553.75
751.0,875.0,510.0,267.0,600.75
332.0,903.0,82.0,726.0,510.75
643.0,39.0,180.0,613.0,368.75
35.0,493.0,617.0,401.0,386.5
141.0,533.0,421.0,777.0,468.0
843.0,134.0,488.0,589.0,513.5
943.0,189.0,520.0,925.0,644.25
104.0,654.0,730.0,644.0,533.0
512.0,96.0,39.0,184.0,207.75
414.0,721.0,696.0,752.0,645.75
541.0,431.0,711.0,299.0,495.5
1.0,831.0,212.0,122.0,291.5
347.0,867.0,161.0,952.0,581.75
412.0,629.0,705.0,545.0,572.75
387.0,127.0,727.0,761.0,500.5
988.0,178.0,264.0,880.0,577.5
207.0,695.0,427.0,939.0,567.0
686.0,760.0,894.0,606.0,736.5
833.0,131.0,569.0,134.0,416.75
514.0,382.0,633.0,141.0,417.5
572.0,188.0,415.0,802.0,494.25
945.0,951.0,923.0,10.0,707.25
360.0,360.0,831.0,115.0,416.5
161.0,768.0,136.0,861.0,481.5
542.0,454.0,286.0,866.0,537.0
183.0,869.0,433.0,420.0,476.25
631.0,106.0,267.0,196.0,300.0
116.0,651.0,208.0,489.0,366.0
310.0,334.0,63.0,650.0,339.25
940.0,84.0,138.0,10.0,293.0
356.0,264.0,546.0,723.0,472.25
32.0,14.0,121.0,480.0,161.75
790.0,720.0,520.0,390.0,605.0
532.0,309.0,278.0,844.0,490.75
656.0,917.0,299.0,897.0,692.25
366.0,602.0,5.0,808.0,445.25
913.0,132.0,779.0,15.0,459.75
591.0,776.0,663.0,803.0,708.25
823.0,910.0,966.0,127.0,706.5
598.0,429.0,676.0,278.0,495.25
986.0,109.0,653.0,907.0,663.75
910.0,186.0,686.0,421.0,550.75
11.0,281.0,75.0,489.0,214.0
911.0,675.0,714.0,781.0,770.25
594.0,519.0,349.0,283.0,436.25
707.0,483.0,258.0,869.0,579.25
389.0,353.0,631.0,531.0,476.0
299.0,347.0,793.0,187.0,406.5
861.0,223.0,271.0,739.0,523.5
403.0,693.0,524.0,421.0,510.25
750.0,348.0,999.0,769.0,716.5
381.0,576.0,893.0,171.0,505.25
978.0,802.0,543.0,796.0,779.75
287.0,978.0,702.0,862.0,707.25
506.0,581.0,488.0,325.0,475.0
440.0,541.0,905.0,708.0,648.5
422.0,83.0,685.0,14.0,301.0
537.0,961.0,938.0,397.0,708.25
166.0,576.0,755.0,982.0,619.75
644.0,520.0,327.0,15.0,376.5
475.0,724.0,494.0,487.0,545.0
940.0,200.0,258.0,420.0,454.5
868.0,558.0,475.0,449.0,587.5
906.0,302.0,119.0,522.0,462.25
11.0,244.0,607.0,46.0,227.0
808.0,151.0,176.0,581.0,429.0
458.0,713.0,913.0,800.0,721.0
541.0,419.0,223.0,947.0,532.5
300.0,780.0,581.0,416.0,519.25
886.0,857.0,186.0,932.0,715.25
587.0,840.0,627.0,545.0,649.75
42.0,555.0,372.0,724.0,423.25
618.0,939.0,39.0,631.0,556.75
588.0,241.0,344.0,610.0,445.75
714.0,143.0,140.0,540.0,384.25
981.0,763.0,174.0,923.0,710.25
37.0,697.0,648.0,923.0,576.25
392.0,312.0,684.0,752.0,535.0
159.0,998.0,794.0,992.0,735.75
368.0,967.0,883.0,7.0,556.25
687.0,234.0,558.0,784.0,565.75
462.0,69.0,3.0,117.0,162.75
915.0,544.0,450.0,308.0,554.25
889.0,193.0,858.0,865.0,701.25
56.0,68.0,362.0,524.0,252.5
549.0,339.0,396.0,657.0,485.25
468.0,680.0,33.0,52.0,308.25
613.0,489.0,381.0,829.0,578.0
988.0,334.0,307.0,283.0,478.0
853.0,744.0,67.0,207.0,467.75
865.0,328.0,736.0,631.0,640.0
683.0,927.0,562.0,566.0,684.5
293.0,423.0,921.0,862.0,624.75
571.0,447.0,276.0,99.0,348.25
148.0,129.0,801.0,273.0,337.75
909.0,718.0,775.0,808.0,802.5
530.0,850.0,812.0,111.0,575.75
333.0,820.0,156.0,11.0,330.0
136.0,310.0,782.0,562.0,447.5
825.0,851.0,986.0,657.0,829.75
105.0,391.0,301.0,753.0,387.5
617.0,984.0,504.0,445.0,637.5
144.0,719.0,395.0,219.0,369.25
736.0,251.0,526.0,482.0,498.75
583.0,896.0,265.0,54.0,449.5
409.0,116.0,410.0,722.0,414.25
539.0,395.0,205.0,307.0,361.5
452.0,915.0,37.0,788.0,548.0
979.0,279.0,232.0,946.0,609.0
521.0,142.0,2.0,998.0,415.75
247.0,458.0,855.0,167.0,431.75
561.0,37.0,845.0,524.0,491.75
333.0,185.0,479.0,298.0,323.75
962.0,461.0,575.0,454.0,613.0
726.0,15.0,949.0,815.0,626.25
537.0,680.0,595.0,159.0,492.75
253.0,99.0,164.0,34.0,137.5
809.0,710.0,101.0,712.0,583.0
625.0,179.0,923.0,542.0,567.25
591.0,250.0,7.0,524.0,343.0
596.0,215.0,744.0,192.0,436.75
105.0,393.0,290.0,171.0,239.75
234.0,880.0,532.0,786.0,608.0
843.0,519.0,118.0,569.0,512.25
949.0,649.0,560.0,543.0,675.25
472.0,233.0,728.0,405.0,459.5
627.0,885.0,374.0,741.0,656.75
522.0,562.0,517.0,27.0,407.0
666.0,938.0,25.0,255.0,471.0
32.0,211.0,768.0,841.0,463.0
988.0,505.0,665.0,986.0,786.0
121.0,909.0,539.0,697.0,566.5
865.0,356.0,278.0,734.0,558.25
253.0,629.0,651.0,721.0,563.5
339.0,419.0,73.0,75.0,226.5
296.0,509.0,748.0,975.0,632.0
704.0,131.0,171.0,1.0,251.75
370.0,86.0,580.0,536.0,393.0
174.0,688.0,662.0,184.0,427.0
369.0,45.0,555.0,771.0,435.0
313.0,53.0,832.0,744.0,485.5
209.0,272.0,572.0,555.0,402.0
882.0,394.0,710.0,3.0,497.25
688.0,903.0,537.0,335.0,615.75
450.0,56.0,257.0,883.0,411.5
33.0,870.0,457.0,152.0,378.0
874.0,213.0,10.0,723.0,455.0
235.0,176.0,74.0,964.0,362.25
392.0,981.0,401.0,796.0,642.5
25.0,21.0,915.0,78.0,259.75
201.0,46.0,807.0,164.0,304.5
789.0,281.0,758.0,888.0,679.0
599.0,950.0,354.0,624.0,631.75
365.0,623.0,923.0,915.0,706.5
263.0,186.0,275.0,936.0,415.0
101.0,455.0,852.0,617.0,506.25
365.0,670.0,236.0,894.0,541.25
663.0,180.0,53.0,119.0,253.75
276.0,214.0,382.0,647.0,379.75
595.0,517.0,527.0,413.0,513.0
313.0,570.0,619.0,960.0,615.5
502.0,520.0,778.0,534.0,583.5
145.0,51.0,751.0,581.0,382.0
143.0,756.0,461.0,687.0,511.75
587.0,337.0,866.0,585.0,593.75
533.0,594.0,251.0,511.0,472.25
20.0,317.0,386.0,870.0,398.25
855.0,236.0,689.0,520.0,575.0
496.0,11.0,457.0,898.0,465.5
430.0,354.0,240.0,439.0,365.75
554.0,394.0,991.0,112.0,512.75
318.0,645.0,175.0,944.0,520.5
343.0,682.0,500.0,111.0,409.0
536.0,299.0,84.0,521.0,360.0
922.0,287.0,684.0,928.0,705.25
94.0,92.0,336.0,171.0,173.25
527.0,19.0,110.0,215.0,217.75
835.0,226.0,743.0,117.0,480.25
486.0,907.0,486.0,55.0,483.5
692.0,338.0,82.0,124.0,309.0
912.0,422.0,871.0,449.0,663.5
243.0,550.0,724.0,729.0,561.5
656.0,891.0,465.0,884.0,724.0
308.0,556.0,523.0,953.0,585.0
793.0,203.0,261.0,224.0,370.25
134.0,487.0,461.0,588.0,417.5
902.0,481.0,362.0,3.0,437.0
380.0,709.0,783.0,343.0,553.75
667.0,723.0,145.0,335.0,467.5
32.0,125.0,411.0,641.0,302.25
833.0,310.0,183.0,792.0,529.5
733.0,358.0,954.0,442.0,621.75
996.0,444.0,962.0,387.0,697.25
919.0,937.0,432.0,609.0,724.25
401.0,722.0,393.0,109.0,406.25
665.0,34.0,887.0,657.0,560.75
236.0,90.0,263.0,79.0,167.0
768.0,602.0,811.0,153.0,583.5
994.0,402.0,121.0,721.0,559.5
343.0,785.0,631.0,625.0,596.0
933.0,654.0,256.0,994.0,709.25
610.0,680.0,283.0,749.0,580.5
914.0,554.0,8.0,762.0,559.5
191.0,436.0,253.0,116.0,249.0
844.0,241.0,385.0,144.0,403.5
378.0,680.0,300.0,112.0,367.5
591.0,76.0,255.0,205.0,281.75
185.0,194.0,5.0,311.0,173.75
951.0,512.0,807.0,712.0,745.5
261.0,675.0,290.0,797.0,505.75
139.0,266.0,183.0,155.0,185.75
984.0,13.0,722.0,504.0,555.75
814.0,884.0,736.0,608.0,760.5
706.0,257.0,699.0,496.0,539.5
395.0,891.0,299.0,534.0,529.75
472.0,535.0,948.0,799.0,688.5
767.0,402.0,900.0,848.0,729.25
944.0,242.0,748.0,322.0,564.0
351.0,884.0,571.0,341.0,536.75
5.0,222.0,615.0,635.0,369.25
459.0,607.0,131.0,62.0,314.75
672.0,973.0,225.0,532.0,600.5
318.0,540.0,781.0,646.0,571.25
178.0,683.0,840.0,83.0,446.0
216.0,297.0,918.0,314.0,436.25
74.0,939.0,442.0,68.0,380.75
32.0,874.0,114.0,922.0,485.5
927.0,6.0,165.0,988.0,521.5
967.0,12.0,461.0,769.0,552.25
86.0,684.0,994.0,772.0,634.0
331.0,393.0,567.0,897.0,547.0
662.0,316.0,837.0,829.0,661.0
148.0,688.0,179.0,191.0,301.5
185.0,140.0,661.0,830.0,454.0
399.0,833.0,66.0,69.0,341.75
113.0,890.0,76.0,164.0,310.75
109.0,469.0,996.0,165.0,434.75
891.0,528.0,629.0,22.0,517.5
677.0,401.0,92.0,626.0,449.0
120.0,209.0,179.0,447.0,238.75
971.0,390.0,48.0,243.0,413.0
447.0,1.0,622.0,983.0,513.25
906.0,281.0,814.0,13.0,503.5
463.0,455.0,425.0,309.0,413.0
663.0,181.0,204.0,172.0,305.0
955.0,112.0,877.0,106.0,512.5
473.0,340.0,188.0,462.0,365.75
240.0,215.0,401.0,402.0,314.5
778.0,267.0,21.0,111.0,294.25
890.0,877.0,553.0,450.0,692.5
610.0,205.0,906.0,168.0,472.25
300.0,299.0,852.0,74.0,381.25
782.0,829.0,959.0,114.0,671.0
492.0,87.0,588.0,390.0,389.25
867.0,951.0,216.0,14.0,512.0
795.0,785.0,265.0,691.0,634.0
337.0,894.0,324.0,10.0,391.25
186.0,456.0,245.0,370.0,314.25
614.0,732.0,457.0,78.0,470.25
908.0,175.0,134.0,952.0,542.25
22.0,522.0,110.0,226.0,220.0
730.0,179.0,477.0,924.0,577.5
849.0,566.0,53.0,89.0,389.25
423.0,558.0,912.0,294.0,546.75
56.0,521.0,523.0,844.0,486.0
334.0,630.0,45.0,448.0,364.25
396.0,498.0,845.0,487.0,556.5
136.0,294.0,815.0,525.0,442.5
129.0,394.0,708.0,16.0,311.75
139.0,558.0,987.0,582.0,566.5
662.0,287.0,220.0,850.0,504.75
49.0,646.0,887.0,328.0,477.5
315.0,395.0,366.0,136.0,303.0
49.0,89.0,338.0,935.0,352.75
186.0,120.0,915.0,311.0,383.0
812.0,246.0,710.0,125.0,473.25
512.0,170.0,987.0,706.0,593.75
904.0,619.0,97.0,549.0,542.25
314.0,478.0,352.0,415.0,389.75
293.0,425.0,611.0,976.0,576.25
645.0,882.0,230.0,98.0,463.75
168.0,600.0,601.0,436.0,451.25
411.0,999.0,672.0,516.0,649.5
801.0,349.0,99.0,410.0,414.75
819.0,608.0,350.0,933.0,677.5
934.0,581.0,997.0,434.0,736.5
284.0,720.0,582.0,781.0,591.75
998.0,364.0,763.0,573.0,674.5
336.0,941.0,678.0,27.0,495.5
351.0,382.0,428.0,195.0,339.0
156.0,222.0,860.0,234.0,368.0
754.0,858.0,276.0,629.0,629.25
69.0,300.0,953.0,266.0,397.0
342.0,730.0,621.0,298.0,497.75
844.0,325.0,918.0,870.0,739.25
900.0,616.0,975.0,119.0,652.5
841.0,42.0,718.0,844.0,611.25
948.0,996.0,513.0,927.0,846.0
6.0,422.0,965.0,788.0,545.25
440.0,255.0,131.0,397.0,305.75
53.0,404.0,433.0,276.0,291.5
369.0,267.0,652.0,73.0,340.25
97.0,915.0,744.0,849.0,651.25
486.0,141.0,598.0,918.0,535.75
782.0,413.0,197.0,790.0,545.5
288.0,350.0,656.0,556.0,462.5
273.0,966.0,866.0,336.0,610.25
230.0,763.0,722.0,138.0,463.25
258.0,149.0,512.0,827.0,436.5
298.0,614.0,589.0,803.0,576.0
198.0,32.0,938.0,493.0,415.25
544.0,718.0,993.0,725.0,745.0
839.0,935.0,106.0,873.0,688.25
430.0,198.0,937.0,232.0,449.25
665.0,943.0,728.0,277.0,653.25
193.0,849.0,224.0,408.0,418.5
375.0,259.0,862.0,301.0,449.25
620.0,772.0,931.0,975.0,824.5
587.0,609.0,295.0,11.0,375.5
448.0,699.0,874.0,882.0,725.75
89.0,366.0,213.0,876.0,386.0
718.0,508.0,961.0,461.0,662.0
797.0,490.0,421.0,1.0,427.25
268.0,911.0,484.0,12.0,418.75
57.0,896.0,183.0,303.0,359.75
832.0,980.0,584.0,836.0,808.0
15.0,838.0,32.0,777.0,415.5
460.0,485.0,563.0,843.0,587.75
120.0,592.0,498.0,521.0,432.75
684.0,13.0,949.0,752.0,599.5
805.0,839.0,107.0,657.0,602.0
777.0,438.0,704.0,432.0,587.75
309.0,571.0,161.0,581.0,405.5
910.0,218.0,394.0,110.0,408.0
642.0,204.0,49.0,797.0,423.0
141.0,532.0,613.0,915.0,550.25
361.0,492.0,354.0,469.0,419.0
477.0,477.0,607.0,297.0,464.5
279.0,64.0,445.0,903.0,422.75
942.0,969.0,494.0,632.0,759.25
574.0,483.0,428.0,751.0,559.0
233.0,986.0,835.0,601.0,663.75
294.0,305.0,904.0,154.0,414.25
951.0,35.0,854.0,908.0,687.0
438.0,640.0,278.0,157.0,378.25
259.0,505.0,687.0,461.0,478.0
372.0,669.0,680.0,795.0,629.0
852.0,60.0,172.0,299.0,345.75
119.0,664.0,141.0,616.0,385.0
832.0,965.0,502.0,4.0,575.75
397.0,205.0,905.0,929.0,609.0
416.0,492.0,371.0,7.0,321.5
976.0,965.0,260.0,608.0,702.25
312.0,735.0,212.0,613.0,468.0
654.0,107.0,757.0,28.0,386.5
216.0,185.0,966.0,985.0,588.0
69.0,809.0,331.0,977.0,546.5
57.0,649.0,209.0,633.0,387.0
669.0,941.0,815.0,517.0,735.5
119.0,337.0,326.0,23.0,201.25
878.0,876.0,947.0,240.0,735.25
78.0,751.0,982.0,297.0,527.0
210.0,999.0,411.0,479.0,524.75
816.0,148.0,253.0,521.0,434.5
50.0,98.0,974.0,800.0,480.5
500.0,445.0,446.0,597.0,497.0
913.0,513.0,475.0,57.0,489.5
210.0,535.0,997.0,778.0,630.0
201.0,644.0,242.0,853.0,485.0
596.0,575.0,559.0,28.0,439.5
927.0,462.0,997.0,603.0,747.25
782.0,867.0,777.0,530.0,739.0
549.0,148.0,524.0,997.0,554.5
220.0,71.0,287.0,162.0,185.0
169.0,459.0,802.0,887.0,579.25
211.0,447.0,303.0,303.0,316.0
855.0,358.0,844.0,744.0,700.25
294.0,390.0,670.0,20.0,343.5
579.0,630.0,886.0,664.0,689.75
667.0,514.0,556.0,206.0,485.75
11.0,597.0,476.0,736.0,455.0
19.0,895.0,903.0,927.0,686.0
190.0,397.0,620.0,725.0,483.0
475.0,172.0,398.0,712.0,439.25
290.0,931.0,516.0,423.0,540.0
741.0,136.0,940.0,289.0,526.5
915.0,980.0,544.0,54.0,623.25
530.0,176.0,848.0,582.0,534.0
