num_countries,years_school,height,who_am_I
3,2,5.09,adult
1,4,5.64,child
2,3,5.43,adult
5,17,5.84,child
0,4,4.88,child
7,7,5.69,adult
4,0,2.63,child
7,1,5.75,adult
1,10,4.93,child
5,3,5.59,adult
6,19,5.92,child
9,15,5.28,child
3,2,3.32,child
3,15,5.58,child
0,0,3.93,child
3,2,5.19,adult
8,19,4.71,child
0,0,2.5,child
3,16,5.27,adult
7,18,5.38,adult
0,19,4.74,adult
4,13,5.46,child
0,0,2.01,child
5,0,2.36,child
7,7,5.89,adult
4,1,2.75,child
7,11,4.8,child
2,10,5.33,child
7,19,5.72,child
5,9,4.76,child
0,10,5.38,adult
5,8,5.63,adult
7,1,5.07,adult
6,14,4.96,child
6,7,4.71,child
6,11,5.88,adult
8,3,5.79,child
0,8,5.23,adult
3,2,5.99,child
8,2,5.04,adult
2,6,5.91,adult
0,19,5.28,adult
8,8,4.97,adult
4,4,4.2,child
4,8,6.05,adult
0,3,4.99,adult
9,12,5.57,adult
8,16,5.14,child
6,1,2.6,child
0,8,5.46,child
0,15,5.29,adult
9,7,4.07,child
2,2,3.45,child
7,9,5.89,child
1,0,3.89,child
3,1,2.42,child
3,18,5.94,adult
1,14,5.28,child
3,18,5.99,child
5,3,5.47,child
4,5,5.48,adult
0,19,5.57,adult
1,2,3.26,child
6,11,4.07,child
6,11,4.79,child
1,12,5.35,child
7,0,5.36,adult
8,8,5.5,adult
4,0,4.21,child
3,1,3.15,child
5,1,3.77,child
4,15,5.05,adult
0,1,5.47,adult
2,0,2.52,child
8,6,5.19,adult
0,9,5.88,adult
8,17,5.59,child
6,1,5.56,adult
4,1,5.75,adult
5,17,4.28,child
9,14,5.06,child
5,9,5.67,adult
8,4,5.85,adult
4,14,5.52,adult
3,14,5.57,child
4,0,2.6,child
3,3,5.6,adult
1,3,5.02,child
3,0,2.83,child
0,6,5.46,adult
0,19,4.58,child
8,1,3.64,child
4,8,5.29,adult
8,12,5.89,child
2,2,3.08,child
6,8,5.52,adult
2,1,3.98,child
8,13,5.64,adult
1,10,4.17,child
6,1,2.4,child
4,7,5.13,adult
6,0,4.67,child
7,13,5.36,adult
7,14,5.01,adult
4,9,5.63,adult
1,0,2.58,child
5,0,2.29,child
6,13,5.21,adult
8,16,5.34,adult
1,6,6.29,adult
4,14,4.76,child
7,2,3.94,child
4,1,2.37,child
2,0,2.32,child
8,15,5.6,adult
4,0,2.54,child
8,0,3.59,child
1,1,2.44,child
8,2,5.7,adult
6,5,5.49,adult
7,11,5.38,adult
3,1,2.6,child
4,8,4.65,adult
6,5,5.43,adult
7,10,5.83,adult
2,13,4.28,child
0,0,2.73,child
6,0,2.72,child
0,1,3.29,child
0,15,5.07,adult
2,12,5.52,adult
8,0,5.23,adult
6,2,3.51,child
3,1,2.92,child
6,1,2.73,child
3,1,5.08,child
9,1,5.68,adult
6,13,4.14,child
6,11,6.12,adult
1,11,4.97,adult
8,14,5.22,adult
8,2,3.32,child
9,0,3.92,child
5,4,4.02,child
0,0,2.88,child
2,0,2.89,child
4,1,5.49,adult
4,13,5.13,adult
4,0,2.06,child
3,14,5.19,adult
0,1,2.21,child
3,14,5.37,adult
4,15,5.71,adult
5,1,3.39,child
2,12,6.15,adult
9,0,5.12,adult
1,1,3.22,child
2,10,5.61,adult
7,7,4.06,child
8,6,5.34,adult
6,18,4.36,child
0,8,5.39,adult
5,5,5.72,adult
1,1,2.3,child
4,0,3.11,child
9,7,5.11,adult
0,6,5.53,child
2,1,3.97,child
1,0,5.27,child
6,9,4.84,child
7,1,3.81,child
4,1,2.76,child
3,0,2.21,child
2,4,5.59,adult
4,19,4.46,child
9,7,5.8,adult
3,17,5.65,adult
0,18,5.48,adult
7,16,5.39,adult
8,17,4.54,child
3,11,4.96,child
0,3,5.99,child
7,5,5.87,adult
7,1,3.64,child
2,10,5.4,adult
1,0,2.57,child
0,1,2.86,child
4,9,5.79,child
7,16,5.54,adult
1,10,5.47,adult
6,2,4.16,child
8,10,5.07,adult
4,1,2.37,child
2,4,5.68,adult
6,2,3.37,child
1,11,5.78,adult
4,0,5.86,adult
2,5,5.75,adult
9,5,5.58,adult
6,7,5.71,adult
7,6,5.35,child
6,18,4.68,child
2,9,4.36,child
6,1,2.73,child
8,6,5.81,adult
7,0,5.83,adult
7,3,5.81,adult
3,5,5.47,adult
9,2,5.62,adult
5,11,5.47,adult
9,11,5.37,adult
6,19,5.5,adult
4,0,2.4,child
1,0,4.97,child
5,4,5.24,adult
5,10,5.62,adult
2,1,4.02,child
7,12,5.08,child
5,19,5.52,adult
4,4,5.3,adult
1,0,2.67,child
3,4,4.52,child
9,16,5.84,child
5,5,5.51,adult
6,4,5.03,child
4,1,2.66,child
1,15,4.89,child
4,14,5.49,adult
0,13,5.61,adult
2,15,5.02,child
3,9,5.51,adult
3,14,5.16,child
0,1,5.72,adult
7,1,3.57,child
7,15,5.52,adult
8,18,4.94,child
7,4,4.76,adult
8,15,5.49,adult
8,7,5.5,adult
3,1,3.77,child
5,1,2.28,child
7,4,5.64,child
6,0,3.65,child
9,14,5.7,adult
1,3,5.3,adult
4,0,3.23,child
0,12,5.71,adult
3,9,5.02,adult
4,4,5.45,child
1,19,5.67,adult
0,1,5.79,child
5,13,6.0,child
7,16,5.18,adult
0,1,5.61,adult
0,6,5.63,adult
8,10,4.89,adult
7,8,5.56,adult
0,1,2.93,child
2,16,5.72,adult
2,0,2.15,child
9,16,5.44,adult
9,2,5.39,adult
7,8,4.17,child
3,1,2.67,child
5,3,5.89,adult
8,12,5.88,child
3,11,5.09,adult
8,11,5.96,adult
2,12,4.97,adult
7,19,4.99,child
2,6,4.57,child
8,2,5.18,adult
4,2,3.74,child
7,1,3.03,child
1,5,5.8,adult
1,1,4.97,child
7,1,4.46,child
5,4,5.58,child
2,18,5.6,adult
3,12,5.38,adult
9,13,5.55,adult
6,11,5.2,adult
8,10,5.79,adult
2,19,5.78,adult
8,1,5.79,adult
4,11,5.18,child
5,16,5.66,adult
7,12,5.78,adult
1,0,3.56,child
8,5,4.51,child
3,2,4.05,child
8,18,5.33,child
3,16,5.11,child
7,2,5.04,adult
7,1,3.21,child
9,2,5.97,child
3,2,5.52,adult
4,0,3.22,child
0,7,5.26,adult
2,0,2.18,child
2,14,5.25,child
1,7,5.72,adult
1,7,5.54,adult
3,0,4.94,adult
2,9,5.59,adult
9,2,3.27,child
6,7,4.61,child
5,14,4.52,child
0,2,5.02,child
1,5,5.38,adult
3,8,5.61,child
5,1,3.8,child
3,15,5.49,adult
4,16,5.01,adult
1,1,4.69,child
6,0,2.22,child
5,1,5.67,adult
5,2,3.98,child
1,1,5.69,adult
2,1,2.44,child
3,2,3.45,child
5,6,4.89,adult
1,2,5.36,adult
7,9,5.63,adult
4,1,2.93,child
2,14,5.42,adult
0,18,5.77,child
9,10,5.86,adult
3,12,4.96,adult
8,12,6.05,adult
6,1,3.32,child
6,6,5.41,adult
2,1,3.02,child
4,16,5.57,child
3,1,3.05,child
1,18,4.59,child
3,19,5.47,adult
7,17,4.12,child
7,8,5.51,adult
9,16,4.98,child
3,13,4.94,adult
3,0,3.05,child
2,15,5.55,adult
7,16,5.77,adult
3,1,2.04,child
6,14,5.29,adult
6,9,4.99,child
7,17,5.88,adult
9,8,5.15,adult
3,18,5.24,adult
8,3,5.21,adult
1,1,2.11,child
0,10,4.1,child
4,9,5.73,adult
3,7,5.64,adult
8,5,5.8,adult
9,2,5.39,adult
0,5,5.6,adult
2,0,5.42,adult
5,10,5.82,child
3,6,5.63,adult
8,12,5.34,adult
3,1,5.77,adult
6,0,2.49,child
1,4,5.17,adult
7,14,5.49,adult
5,5,5.05,adult
1,10,5.45,adult
5,4,5.42,adult
0,5,5.29,adult
3,11,5.42,adult
7,13,5.69,child
0,0,3.8,child
3,16,5.56,adult
4,1,2.17,child
0,1,5.72,adult
5,1,2.92,child
0,2,3.25,child
4,0,5.62,child
3,6,4.67,child
1,0,2.52,child
7,7,4.91,child
0,19,5.7,adult
7,16,5.42,adult
9,0,3.39,child
7,2,3.13,child
6,18,5.74,adult
1,8,5.61,adult
1,11,5.31,child
0,4,5.38,adult
8,17,4.26,child
1,9,5.82,child
2,7,4.53,child
6,1,3.36,child
3,2,3.66,child
6,0,5.71,child
5,0,3.08,child
2,16,4.13,child
6,8,4.08,child
9,4,4.49,adult
8,2,5.56,adult
8,1,3.03,child
5,19,5.23,adult
2,3,4.61,child
7,18,5.1,adult
5,6,5.15,adult
2,7,5.83,child
2,16,5.72,adult
6,1,2.21,child
7,6,5.3,adult
0,15,5.72,child
2,7,4.85,adult
4,1,3.45,child
8,18,5.54,adult
5,1,2.55,child
9,9,5.46,child
6,4,5.63,adult
1,7,5.63,adult
7,14,5.75,adult
7,5,4.57,child
0,16,5.89,child
1,1,2.94,child
8,0,5.35,adult
7,17,5.13,adult
8,3,5.33,adult
9,14,5.58,adult
7,3,5.64,adult
9,7,4.6,child
2,1,2.4,child
2,17,4.04,child
1,2,3.62,child
2,0,2.31,child
6,9,4.01,child
2,1,2.41,child
9,1,5.25,adult
0,12,5.47,adult
9,0,5.46,child
2,16,5.89,adult
5,5,4.75,child
9,2,5.77,adult
6,0,3.78,child
3,1,3.7,child
6,0,3.13,child
0,1,2.33,child
5,1,2.0,child
7,15,5.31,child
1,6,5.53,adult
2,0,2.54,child
3,2,3.89,child
2,1,2.38,child
8,1,4.15,child
0,12,5.57,adult
5,13,4.24,child
0,1,2.24,child
2,4,5.03,adult
3,3,5.05,child
8,1,3.64,child
0,2,4.32,child
7,2,5.26,adult
6,0,2.97,child
8,1,5.35,adult
4,1,2.06,child
2,10,5.27,adult
6,2,3.29,child
5,14,5.42,adult
5,0,3.42,child
1,0,4.56,child
2,9,5.84,adult
8,0,3.06,child
4,10,5.14,adult
4,1,2.87,child
5,14,4.53,child
4,10,5.11,child
8,14,4.93,child
9,17,5.75,adult
3,9,4.03,child
7,0,4.72,adult
8,12,5.21,child
8,17,5.37,child
1,6,5.53,adult
0,1,4.04,child
0,8,5.21,adult
6,11,5.37,adult
9,1,3.69,child
8,14,4.18,child
7,2,4.31,child
7,9,4.48,child
3,13,5.73,child
8,13,5.27,adult
4,17,5.35,adult
4,6,5.81,adult
7,17,5.49,adult
4,2,3.83,child
9,16,5.13,child
7,4,6.04,adult
0,7,5.21,adult
3,2,5.12,adult
7,1,5.03,adult
3,1,5.52,adult
6,13,4.34,child
3,1,3.5,child
5,10,5.99,child
5,15,5.71,adult
4,17,4.51,child
7,17,5.78,child
0,12,5.33,adult
5,1,2.18,child
0,17,5.27,adult
6,10,5.47,child
6,14,4.66,child
5,18,5.04,child
0,18,4.91,adult
0,9,5.74,adult
4,13,5.77,adult
0,0,2.59,child
6,5,5.61,adult
6,1,3.59,child
2,19,4.53,child
7,9,5.87,adult
3,3,5.48,child
2,13,5.45,adult
6,6,5.56,adult
9,4,5.97,adult
6,2,3.06,child
4,17,5.8,adult
6,9,5.69,adult
7,15,4.59,child
1,2,3.7,child
7,3,5.61,adult
7,1,5.67,adult
7,14,5.51,adult
0,0,5.29,adult
1,0,2.59,child
5,16,5.29,adult
0,10,5.61,child
4,1,3.32,child
4,8,5.84,child
6,1,3.82,child
0,0,5.29,child
7,12,5.02,child
8,5,5.39,adult
1,2,3.59,child
0,8,5.55,adult
7,4,5.31,adult
1,14,5.71,adult
2,5,4.81,child
7,3,5.38,adult
0,2,3.36,child
2,17,5.58,adult
8,12,5.31,adult
8,4,5.66,adult
6,8,6.06,adult
5,1,2.48,child
5,4,5.69,adult
2,5,5.21,adult
5,11,5.64,adult
4,15,5.5,child
2,15,5.62,adult
9,3,4.47,child
1,7,5.11,adult
5,0,3.58,child
1,1,5.73,adult
2,18,5.33,child
6,9,5.47,adult
5,4,5.39,adult
2,10,5.42,adult
8,12,5.45,adult
2,15,5.84,adult
9,3,5.82,adult
2,1,2.82,child
6,0,5.43,adult
5,7,5.59,adult
5,17,5.35,adult
4,0,2.99,child
7,12,4.85,adult
1,12,5.84,child
6,12,5.2,adult
2,17,5.58,child
0,4,5.55,adult
4,4,5.43,adult
3,10,4.31,child
4,0,2.92,child
1,18,6.01,adult
3,1,2.68,child
6,3,5.28,adult
6,12,5.47,adult
9,10,5.18,adult
2,8,5.88,child
0,5,5.65,adult
7,2,4.59,child
0,6,5.53,child
2,16,5.38,adult
1,6,5.09,adult
3,18,5.14,adult
3,0,5.54,child
1,1,2.68,child
6,13,5.32,adult
9,1,3.79,child
8,19,5.23,adult
8,0,6.08,adult
5,11,5.1,child
0,19,4.84,child
2,1,2.76,child
5,10,5.71,adult
3,0,4.67,child
0,17,5.47,adult
0,17,5.05,adult
0,0,2.97,child
2,0,3.14,child
4,4,5.34,adult
4,0,5.54,adult
7,1,5.34,adult
5,17,5.34,adult
6,2,5.22,adult
5,9,5.18,adult
6,0,3.66,child
7,3,5.55,adult
0,1,5.07,child
2,2,5.32,adult
1,10,5.46,adult
3,19,4.64,child
2,0,5.71,adult
9,17,5.31,adult
3,0,3.56,child
7,3,5.2,child
0,18,5.28,adult
0,0,5.12,adult
5,5,5.19,child
2,0,2.39,child
2,1,2.96,child
7,3,4.71,child
6,18,5.09,child
2,19,5.89,adult
7,9,4.5,child
6,1,3.53,child
9,13,5.55,adult
4,0,2.14,child
8,1,3.62,child
8,16,5.69,child
4,19,5.96,adult
6,0,3.39,child
0,3,5.68,adult
9,6,5.95,adult
7,6,5.35,adult
5,1,2.65,child
5,6,5.88,adult
3,11,4.31,child
1,2,3.77,child
4,2,5.62,adult
4,16,5.68,adult
2,19,5.78,adult
7,14,5.29,adult
5,1,2.86,child
9,4,4.38,child
2,12,6.09,adult
8,6,5.84,child
8,0,5.29,adult
8,10,5.55,adult
0,1,3.09,child
5,9,4.69,child
4,3,4.6,child
3,3,5.44,adult
3,0,3.35,child
4,0,5.32,adult
6,0,2.03,child
8,0,3.56,child
8,7,5.25,adult
2,16,5.41,adult
2,15,5.65,adult
5,9,5.76,adult
0,10,5.02,child
8,0,3.09,child
7,3,5.44,adult
5,2,3.33,child
5,11,4.48,child
1,7,5.03,adult
4,14,5.82,adult
9,13,5.1,adult
3,0,3.93,child
1,2,5.53,adult
5,14,5.3,child
8,10,5.18,adult
7,2,5.93,adult
0,0,2.5,child
2,1,5.52,adult
1,0,2.94,child
0,19,4.99,adult
7,12,5.94,adult
8,1,3.62,child
5,2,3.89,child
9,0,3.19,child
2,11,5.98,adult
9,16,5.44,adult
5,6,5.5,child
9,0,3.77,child
6,18,5.59,adult
4,2,5.39,adult
2,1,3.23,child
5,4,5.66,adult
2,11,5.68,adult
1,17,5.96,child
3,2,3.95,child
6,16,5.03,adult
6,12,5.4,child
7,3,5.37,adult
6,2,5.49,child
5,6,6.22,adult
4,10,5.58,adult
6,2,5.46,adult
4,10,4.65,child
8,16,5.41,adult
6,0,2.8,child
0,3,5.43,child
8,2,3.33,child
5,13,5.43,adult
6,1,3.19,child
9,9,4.33,child
9,18,4.91,adult
4,17,6.14,adult
2,0,5.25,adult
4,14,5.0,child
4,1,2.59,child
7,14,5.36,adult
5,19,4.72,adult
9,5,5.67,adult
5,1,2.52,child
0,0,3.16,child
4,13,5.43,adult
4,0,5.86,adult
5,0,2.75,child
8,13,4.28,child
4,0,2.28,child
0,1,5.65,adult
5,0,5.61,adult
3,9,5.39,adult
2,15,5.67,adult
0,8,5.7,adult
7,19,5.45,adult
2,1,2.33,child
5,8,5.74,adult
6,0,3.95,child
2,0,2.81,child
6,1,4.14,child
9,0,3.94,child
9,6,5.2,adult
3,10,5.25,adult
4,6,5.52,adult
1,8,5.38,child
1,3,5.6,child
5,9,4.08,child
9,12,5.64,adult
8,10,5.3,adult
1,0,5.53,adult
4,6,5.55,child
8,1,5.45,adult
1,18,5.77,adult
2,0,5.71,child
2,13,5.82,child
3,4,5.52,adult
5,10,5.77,adult
6,0,2.06,child
6,2,3.52,child
6,7,5.49,adult
5,7,4.86,adult
0,1,5.37,adult
1,5,4.34,child
1,6,5.73,adult
5,10,5.28,adult
2,1,5.2,adult
5,1,2.04,child
6,19,5.37,adult
9,9,5.21,adult
0,10,5.7,adult
5,1,4.4,child
0,6,5.47,child
5,17,5.6,adult
2,10,5.1,adult
0,5,5.94,child
6,0,4.48,child
4,2,3.58,child
8,1,3.45,child
4,0,2.43,child
1,2,3.43,child
8,7,5.12,adult
2,8,5.42,child
7,8,5.47,adult
1,0,2.7,child
4,2,3.06,child
9,8,5.68,child
9,13,5.76,adult
5,10,4.47,child
2,7,5.67,adult
8,10,5.43,child
3,5,5.8,child
2,12,4.09,child
2,15,5.74,child
6,1,2.14,child
6,0,5.27,adult
0,1,3.86,child
2,7,5.48,adult
0,15,4.6,child
6,9,5.34,adult
9,16,5.41,child
0,2,3.07,child
5,0,2.91,child
7,5,4.21,child
6,0,6.17,adult
5,13,5.48,child
3,5,5.45,child
8,6,5.87,adult
2,4,5.61,adult
0,0,5.82,adult
6,18,6.06,adult
8,3,5.34,adult
7,10,5.55,adult
6,1,5.69,adult
9,10,5.5,adult
2,19,6.13,adult
2,0,2.98,child
9,9,4.12,child
6,11,5.72,adult
2,15,4.91,child
6,1,3.99,child
6,19,5.48,adult
5,15,5.36,adult
9,3,5.85,adult
4,19,4.18,child
2,0,2.85,child
4,11,5.57,child
5,0,3.86,child
2,10,5.34,adult
4,1,5.51,adult
6,17,5.2,adult
8,4,4.09,child
3,16,5.13,adult
4,7,5.83,adult
2,2,3.23,child
8,0,5.4,adult
2,0,2.25,child
5,9,4.2,child
8,14,5.65,adult
8,9,5.35,adult
7,11,5.89,adult
8,0,5.22,adult
8,6,5.85,adult
0,1,2.42,child
7,1,3.26,child
2,10,5.11,adult
7,4,5.25,child
8,16,4.22,child
0,1,5.66,adult
0,12,5.44,adult
5,6,5.15,adult
7,3,5.67,adult
9,4,5.32,child
1,19,5.2,child
6,11,4.08,child
6,12,5.42,adult
5,4,4.96,adult
1,11,5.76,child
5,1,2.39,child
4,5,5.21,child
9,14,5.81,child
7,13,5.65,adult
5,1,2.98,child
6,1,2.67,child
2,2,5.63,adult
0,18,5.76,adult
4,1,5.74,adult
5,1,3.9,child
6,2,3.23,child
0,0,5.42,child
0,5,5.36,adult
8,7,5.99,child
8,11,5.92,child
0,10,5.61,adult
0,9,5.9,adult
1,6,5.12,adult
9,2,3.94,child
6,1,3.16,child
8,9,5.52,adult
6,0,5.82,adult
4,1,5.11,adult
8,18,5.85,child
0,8,5.96,adult
8,2,3.96,child
9,14,5.73,child
2,2,3.83,child
6,1,2.49,child
4,4,4.5,child
2,0,5.54,child
8,1,3.17,child
2,4,5.33,adult
9,1,3.96,child
3,18,5.43,adult
4,17,5.48,adult
3,1,5.45,adult
0,0,2.31,child
6,4,4.36,child
